brand,model,year,mileage,engine_size,price
BMW,R 1250 GS Adventure Rally,2022,2.0,1250.0,24370.0
BMW,CE 04,2022,0.0,4.0,14570.0
BMW,R 18 CLASSIC,2022,0.0,18.0,20690.0
BMW,R 18 B,2022,0.0,18.0,23815.0
BMW,R 18 B,2022,0.0,18.0,27515.0
BMW,R18,2021,4.0,18.0,14950.0
BMW,R 18 B First Edition,2022,102.0,18.0,26720.0
BMW,R 18 B,2022,0.0,18.0,25365.0
BMW,R 18 B,2022,0.0,18.0,25740.0
BMW,R 1250 RS,2021,4285.0,1250.0,17995.0
BMW,R 18 Transcontinental First Edition,2022,75.0,18.0,21990.0
BMW,K 1600 GTL Gravity Blue Metallic,2022,0.0,1600.0,30435.0
BMW,R 18 B,2022,0.0,18.0,25215.0
BMW,R 18 B,2023,7.0,18.0,25985.0
BMW,R 18 B Gravity Blue Metallic,2023,2.0,18.0,25495.0
BMW,K1600GTL W/ABS 1600 GTL,2018,22131.0,1600.0,18999.0
BMW,R 1250 GS,2023,0.0,1250.0,23425.0
BMW,F 650 GS,2006,19227.0,650.0,4495.0
BMW,R 1200 RT San Marino Blue Metallic / Granite Grey Metal RTP,2016,11767.0,1200.0,11195.0
BMW,R 18 B Black Storm Metallic,2022,300.0,18.0,25435.0
BMW,R 18 B Manhattan Metallic Matt,2022,141.0,18.0,18445.0
BMW,CE 04,2022,0.0,4.0,15445.0
BMW,R 1250 GS Light White,2023,2.0,1250.0,22185.0
BMW,R 1250 GS,2023,0.0,1250.0,23610.0
BMW,K 1600 GT Premium,2013,41279.0,1600.0,10997.0
BMW,K1600GTL W/ABS 1600 GTL,2018,70008.0,1600.0,12885.0
BMW,R 1200 GS,2012,49842.0,1200.0,9000.0
BMW,R 18 B,2022,0.0,18.0,25365.0
BMW,R 18 B,2022,0.0,18.0,25365.0
BMW,M 1000 R Blackstorm Metallic/M Motorsport,2023,8.0,1000.0,26340.0
BMW,R 1250 RS Light White,2023,2.0,1250.0,19645.0
BMW,M 1000 R Blackstorm Metallic/M Motorsport,2023,8.0,1000.0,26340.0
BMW,R 1250 GS,2023,0.0,1250.0,22850.0
BMW,K 1300 S HP Package,2012,12900.0,1300.0,13290.0
BMW,R 1250 GS Adventure Rally,2023,0.0,1250.0,26475.0
BMW,R 1250 GS,2023,0.0,1250.0,23045.0
BMW,S 1000 XR,2023,0.0,1000.0,23200.0
BMW,S 1000 XR,2023,0.0,1000.0,23450.0
BMW,F 850 GS 850 GS ADVENTURE,2023,0.0,850.0,16425.0
BMW,K 1600 GTL,2023,5.0,1600.0,30275.0
BMW,R 18 B,2023,0.0,18.0,25790.0
BMW,R 1250 GS ADVENTURE,2023,0.0,1250.0,25580.0
BMW,S 1000 XR Premium Racing Red,2016,15620.0,1000.0,11499.0
BMW,S 1000 XR Premium Racing Red,2016,15620.0,1000.0,11499.0
BMW,S 1000 XR Premium Racing Red,2016,15620.0,1000.0,11499.0
BMW,F 850 GS Adventure 40 Years GS,2021,38.0,850.0,18999.0
BMW,K 1600 GRAND AMERICA,2019,10500.0,1600.0,19750.0
BMW,S 1000 XR,2019,10698.0,1000.0,12500.0
BMW,R 1200 RT,2016,58698.0,1200.0,6999.0
BMW,S 1000 RR Black Storm Metallic / Racing Red,2016,11000.0,1000.0,14995.0
BMW,K 1600 GT,2014,12046.0,1600.0,11000.0
BMW,R 1150 RT,2002,29900.0,1150.0,1750.0
BMW,K 100 RT,1985,22000.0,100.0,2700.0
BMW,R1250GS 1250 GS,2023,11.0,1250.0,21935.0
BMW,S 1000 RR,2023,3.0,1000.0,23700.0
BMW,R 18 Transcontinental,2023,3.0,18.0,29290.0
BMW,R 18 Transcontinental (DEMO),2022,243.0,18.0,21999.0
BMW,S 1000,2022,558.0,1000.0,19999.0
BMW,R1250R 1250 R,2022,10.0,1250.0,20055.0
BMW,R NINET URBAN G/S - EDITION 40 YEARS GS,2021,300.0,40.0,15123.0
BMW,S 1000 RR,2021,3600.0,1000.0,23000.0
BMW,F 850 GSA 850 GS ADVENTURE,2021,3624.0,850.0,14500.0
BMW,K 1200 LT,2005,45000.0,1200.0,5000.0
BMW,R1200RT,2007,83750.0,1200.0,3595.0
BMW,K 1200 S,2007,4800.0,1200.0,6500.0
BMW,R1200RT,2017,63643.0,1200.0,11500.0
BMW,F 900 R,2021,4200.0,900.0,10500.0
BMW,R 1250,2021,282.0,1250.0,35000.0
BMW,F 850 GS Adventure 40 Years GS,2021,38.0,850.0,18999.0
BMW,R1250GS ADVENTURE 1250 GS ADVENTURE,2022,7.0,1250.0,24370.0
BMW,R 1200 RT,2014,10741.0,1200.0,13000.0
BMW,K 1600 GTL,2018,40000.0,1600.0,19500.0
BMW,S 1000 RR,2018,12958.0,1000.0,14999.0
BMW,K 1600 GTL,2018,876.0,1600.0,19999.0
BMW,R 1000,2020,2000.0,1000.0,22800.0
